Process,Number,sample,Sample,run,concentration,abs,h,dilution,j,k,units,test,number,run_time,Notes,Site
RESULT,26,U20,C1A-C-1-N,36,5.938107,1.766404,0,0,0,19,mg N/L,KCL NO3_NO2 2,1653411478,5/24/2022 12:57,,
AUTODILUTION,APPROVED,1653411478,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1653411478,,,,,,,,,,,,,,
RESULT,26,C13,Duplicate,37,5.891666,1.752967,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653411607,5/24/2022 13:00,,
QCPRORESULT,DUPLICATE,0.78514,1653411607,,,,,,,,,,,,,
QCPRODECISION,IN,1653411607,,,,,,,,,,,,,,
AUTODILUTION,APPROVED,1653411607,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1653411607,,,,,,,,,,,,,,
RESULT,26,C14,Auto Spike,38,7.086841,1.861727,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653411736,5/24/2022 13:02,,
QCPRORESULT,AUTO SPIKE,114.873413,1653411736,,,,,,,,,,,,,
QCPRODECISION,IN,1653411736,,,,,,,,,,,,,,
AUTODILUTION,APPROVED,1653411737,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1653411737,,,,,,,,,,,,,,
RESULT,-3,C11,CCV,39,0.964660,0.327372,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653411865,5/24/2022 13:04,,
QCPRORESULT,NORMAL,0,1653411865,,,,,,,,,,,,,
QCPRODECISION,IN,1653411865,,,,,,,,,,,,,,
RESULT,-3,C12,CCB,40,0.021548,0.054489,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653411995,5/24/2022 13:06,,
QCPRORESULT,NORMAL,0,1653411995,,,,,,,,,,,,,
QCPRODECISION,IN,1653411995,,,,,,,,,,,,,,
RESULT,27,U21,C3SC-C-1-N,41,4.515732,1.35485,0,0,0,19,mg N/L,KCL NO3_NO2 2,1653412124,5/24/2022 13:08,,
AUTODILUTION,APPROVED,1653412124,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1653412124,,,,,,,,,,,,,,
RESULT,28,U22,C3SC-A-3-N,42,2.859353,0.875588,0,0,0,19,mg N/L,KCL NO3_NO2 2,1653412253,5/24/2022 13:10,,
AUTODILUTION,APPROVED,1653412253,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1653412253,,,,,,,,,,,,,,
RESULT,29,U23,C3B-B-3-N,43,5.142566,1.53622,0,0,0,19,mg N/L,KCL NO3_NO2 2,1653412381,5/24/2022 13:13,,
AUTODILUTION,APPROVED,1653412381,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1653412381,,,,,,,,,,,,,,
RESULT,30,U24,C3SC-A-5-N,44,0.632406,0.231237,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653412510,5/24/2022 13:15,,
RESULT,31,U25,C3B-B-4-N,45,0.092213,0.074936,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653412644,5/24/2022 13:17,,
RESULT,32,U26,C3B-D-3-N,46,11.646764,3.418164,0,0,0,19,mg N/L,KCL NO3_NO2 2,1653412773,5/24/2022 13:19,,
AUTODILUTION,APPROVED,1653412773,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1653412773,,,,,,,,,,,,,,
RESULT,33,U27,C1SB-B-5-N,47,7.431260,2.198438,0,0,0,19,mg N/L,KCL NO3_NO2 2,1653412902,5/24/2022 13:21,,
AUTODILUTION,APPROVED,1653412902,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1653412902,,,,,,,,,,,,,,
RESULT,34,U28,C1SB-B-1-N,48,7.021598,2.079905,0,0,0,19,mg N/L,KCL NO3_NO2 2,1653413031,5/24/2022 13:23,,
AUTODILUTION,APPROVED,1653413031,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1653413031,,,,,,,,,,,,,,
RESULT,35,U29,C1SB-B-2-N,49,1.004785,0.338982,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653413160,5/24/2022 13:26,,
RESULT,36,U30,C3SC-C-5-N,50,0.164121,0.095742,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653413289,5/24/2022 13:28,,
RESULT,36,C13,Duplicate,51,0.167765,0.096796,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653413417,5/24/2022 13:30,,
QCPRORESULT,DUPLICATE,2.196002,1653413417,,,,,,,,,,,,,
QCPRODECISION,IN,1653413417,,,,,,,,,,,,,,
RESULT,36,C14,Auto Spike,52,1.126904,0.336621,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653413547,5/24/2022 13:32,,
QCPRORESULT,AUTO SPIKE,96.278313,1653413547,,,,,,,,,,,,,
QCPRODECISION,IN,1653413547,,,,,,,,,,,,,,
RESULT,-3,C11,CCV,53,1.005805,0.339277,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653413676,5/24/2022 13:34,,
QCPRORESULT,NORMAL,0,1653413676,,,,,,,,,,,,,
QCPRODECISION,IN,1653413676,,,,,,,,,,,,,,
RESULT,-3,C12,CCB,54,0.024013,0.055202,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653413806,5/24/2022 13:36,,
QCPRORESULT,NORMAL,0,1653413806,,,,,,,,,,,,,
QCPRODECISION,IN,1653413806,,,,,,,,,,,,,,
RESULT,37,U31,C1SB-B-4-N,55,0.741909,0.262921,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653413936,5/24/2022 13:38,,
RESULT,38,U32,C3B-A-2-N,56,1.346717,0.437918,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653414064,5/24/2022 13:41,,
RESULT,39,U33,C3SB-B-5-N,57,0.044121,0.061021,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653414193,5/24/2022 13:43,,
RESULT,40,U34,C3B-A-3-N,58,0.998256,0.337093,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653414321,5/24/2022 13:45,,
RESULT,41,U35,C3SB-B-4-N,59,0.432151,0.173294,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653414454,5/24/2022 13:47,,
RESULT,42,U36,C3B-A-4-N,60,1.422464,0.459834,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653414583,5/24/2022 13:49,,
RESULT,43,U37,C3SC-C-3-N,61,0.963611,0.327069,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653414713,5/24/2022 13:51,,
RESULT,44,U38,C3SB-B-2-N,62,0.145960,0.090487,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653414842,5/24/2022 13:54,,
RESULT,45,U39,C3SB-B-3-N,63,0.275157,0.127869,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653414970,5/24/2022 13:56,,
RESULT,46,U40,C3B-A-1-N,64,1.050865,0.352315,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653415098,5/24/2022 13:58,,
RESULT,46,C13,Duplicate,65,1.090898,0.363898,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653415226,5/24/2022 14:00,,
QCPRORESULT,DUPLICATE,3.738364,1653415226,,,,,,,,,,,,,
QCPRODECISION,IN,1653415226,,,,,,,,,,,,,,
RESULT,46,C14,Auto Spike,66,1.999111,0.559813,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653415356,5/24/2022 14:02,,
QCPRORESULT,AUTO SPIKE,94.824623,1653415356,,,,,,,,,,,,,
QCPRODECISION,IN,1653415356,,,,,,,,,,,,,,
RESULT,-3,C11,CCV,67,1.067622,0.357163,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653415485,5/24/2022 14:04,,
QCPRORESULT,NORMAL,0,1653415485,,,,,,,,,,,,,
QCPRODECISION,IN,1653415485,,,,,,,,,,,,,,
RESULT,-3,C12,CCB,68,0.019961,0.05403,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653415614,5/24/2022 14:06,,
QCPRORESULT,NORMAL,0,1653415614,,,,,,,,,,,,,
QCPRODECISION,IN,1653415614,,,,,,,,,,,,,,
RESULT,47,U41,C3SB-B-1-N,69,0.142138,0.089381,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653415743,5/24/2022 14:09,,
RESULT,48,U42,C1SB-C-4-N,70,2.615553,0.805047,0,0,0,19,mg N/L,KCL NO3_NO2 2,1653415872,5/24/2022 14:11,,
AUTODILUTION,APPROVED,1653415872,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1653415872,,,,,,,,,,,,,,
RESULT,49,U43,C1SB-C-5-N,71,2.239185,0.696147,0,0,0,19,mg N/L,KCL NO3_NO2 2,1653415949,5/24/2022 14:12,,
AUTODILUTION,APPROVED,1653415949,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1653415949,,,,,,,,,,,,,,
RESULT,50,U44,C3SA-D-2,72,0.551254,0.207756,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653416029,5/24/2022 14:13,,
RESULT,51,U45,C1SB-D-4,73,1.400835,0.453576,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653416108,5/24/2022 14:15,,
RESULT,52,U46,C3SA-D-4,74,3.810806,1.150885,0,0,0,19,mg N/L,KCL NO3_NO2 2,1653416189,5/24/2022 14:16,,
AUTODILUTION,APPROVED,1653416189,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1653416189,,,,,,,,,,,,,,
RESULT,53,U47,C3SA-D-5,75,4.220368,1.269388,0,0,0,19,mg N/L,KCL NO3_NO2 2,1653416268,5/24/2022 14:17,,
AUTODILUTION,APPROVED,1653416268,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1653416268,,,,,,,,,,,,,,
RESULT,-3,C11,CCV,76,2.708197,0.831852,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653416348,5/24/2022 14:19,,
QCPRORESULT,NORMAL,1.608197,1653416348,,,,,,,,,,,,,
QCPRODECISION,OUT,1653416348,,,,,,,,,,,,,,
QCPROACTION,CONTINUE,1653416348,,,,,,,,,,,,,,
RESULT,-3,C12,CCB,77,3.143262,0.957735,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653416428,5/24/2022 14:20,,
QCPRORESULT,NORMAL,3.103262,1653416428,,,,,,,,,,,,,
QCPRODECISION,OUT,1653416428,,,,,,,,,,,,,,
QCPROACTION,CONTINUE,1653416428,,,,,,,,,,,,,,
RUNENDED,1653420852,COMPLETE,,,,,,,,,,,,,,
RESULT,-1,S1,Standard 1,0,0.058361,0.058361,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653578849,,,PBG
RESULT,-2,S90,Standard 90,1,0.065118,0.065118,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653578978,5/26/2022 11:29,,
RESULT,-2,S91,Standard 91,2,0.080694,0.080694,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653579111,5/26/2022 11:31,,
RESULT,-2,S92,Standard 92,3,0.108591,0.108591,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653579245,5/26/2022 11:34,,
RESULT,-2,S93,Standard 93,4,0.192155,0.192155,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653579374,5/26/2022 11:36,,
RESULT,-2,S94,Standard 94,5,0.333628,0.333628,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653579503,5/26/2022 11:38,,
RESULT,-2,S95,Standard 95,6,0.478012,0.478012,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653579637,5/26/2022 11:40,,
RESULT,-2,S96,Standard 96,7,0.637947,0.637947,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653579770,5/26/2022 11:42,,
RESULT,-1,S0,Standard 0,8,0.055163,0.055163,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653579904,5/26/2022 11:45,,
CALIBRATION,KCL NO3_NO2 2,1653579904,5/26/2022 11:45,,,,,,,,,,,,,
RESULT,5,C21,Nitrate Standard,9,1.025539,0.110904,0,5,0,0,mg N/L,KCL NO3_NO2 2,1653580037,5/26/2022 11:47,,
RESULT,6,C22,Nitrite Standard,10,1.163729,0.118878,0,5,0,0,mg N/L,KCL NO3_NO2 2,1653580170,5/26/2022 11:49,,
QCPRORESULT,REDUCTION EFFICIENCY,88.125244,1653580170,,,,,,,,,,,,,
QCPRODECISION,IN,1653580170,,,,,,,,,,,,,,
RESULT,-3,C11,CCV,11,1.008904,0.342816,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653580304,5/26/2022 11:51,,
QCPRORESULT,NORMAL,0,1653580304,,,,,,,,,,,,,
QCPRODECISION,IN,1653580304,,,,,,,,,,,,,,
RESULT,-3,C12,CCB,12,0.013158,0.055522,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653580438,5/26/2022 11:53,,
QCPRORESULT,NORMAL,0,1653580438,,,,,,,,,,,,,
QCPRODECISION,IN,1653580438,,,,,,,,,,,,,,
RESULT,7,U1,C1SB-D-5-N,13,12.246712,0.758412,0,5,0,19,mg N/L,KCL NO3_NO2 2,1653580572,5/26/2022 11:56,,
AUTODILUTION,APPROVED,1653580572,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1653580572,,,,,,,,,,,,,,
RESULT,8,U2,C1SB-C-3-N,14,4.971513,0.338603,0,5,0,0,mg N/L,KCL NO3_NO2 2,1653580705,5/26/2022 11:58,,
RESULT,9,U3,C3SA-D-1,15,2.001204,0.167203,0,5,0,0,mg N/L,KCL NO3_NO2 2,1653580839,5/26/2022 12:00,,
RESULT,10,U4,C3A-C-2-N,16,11.475948,0.713936,0,5,0,19,mg N/L,KCL NO3_NO2 2,1653580973,5/26/2022 12:02,,
AUTODILUTION,APPROVED,1653580973,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1653580973,,,,,,,,,,,,,,
RESULT,11,U5,C3B-B-5-N,17,4.373158,0.304075,0,5,0,0,mg N/L,KCL NO3_NO2 2,1653581111,5/26/2022 12:05,,
RESULT,12,U6,C3A-C-3-N,18,2.162531,0.176513,0,5,0,0,mg N/L,KCL NO3_NO2 2,1653581240,5/26/2022 12:07,,
RESULT,13,U7,C1A-C-4-N,19,2.297286,0.184289,0,5,0,0,mg N/L,KCL NO3_NO2 2,1653581370,5/26/2022 12:09,,
RESULT,14,U8,C3SC-A-1-N,20,2.166774,0.176758,0,5,0,0,mg N/L,KCL NO3_NO2 2,1653581504,5/26/2022 12:11,,
RESULT,15,U9,C3A-C-4-N,21,14.580671,0.893091,0,5,0,19,mg N/L,KCL NO3_NO2 2,1653581637,5/26/2022 12:13,,
AUTODILUTION,APPROVED,1653581637,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1653581637,,,,,,,,,,,,,,
RESULT,16,U10,C1A-C-2-N,22,2.922243,0.220351,0,5,0,0,mg N/L,KCL NO3_NO2 2,1653581771,5/26/2022 12:16,,
RESULT,16,C13,Duplicate,23,2.919289,0.220181,0,5,0,0,mg N/L,KCL NO3_NO2 2,1653581905,5/26/2022 12:18,,
QCPRORESULT,DUPLICATE,0.101146,1653581905,,,,,,,,,,,,,
QCPRODECISION,IN,1653581905,,,,,,,,,,,,,,
RESULT,16,C14,Auto Spike,24,3.892946,0.448547,0,5,0,0,mg N/L,KCL NO3_NO2 2,1653582039,5/26/2022 12:20,,
QCPRORESULT,AUTO SPIKE,97.070274,1653582039,,,,,,,,,,,,,
QCPRODECISION,IN,1653582039,,,,,,,,,,,,,,
RESULT,-3,C11,CCV,25,0.980836,0.334717,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653582173,5/26/2022 12:22,,
QCPRORESULT,NORMAL,0,1653582173,,,,,,,,,,,,,
QCPRODECISION,IN,1653582173,,,,,,,,,,,,,,
RESULT,-3,C12,CCB,26,0.012496,0.055331,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653582307,5/26/2022 12:25,,
QCPRORESULT,NORMAL,0,1653582307,,,,,,,,,,,,,
QCPRODECISION,IN,1653582307,,,,,,,,,,,,,,
RESULT,17,U11,C1A-C-1-N,27,5.715794,0.381551,0,5,0,0,mg N/L,KCL NO3_NO2 2,1653582442,5/26/2022 12:27,,
RESULT,18,U12,C3A-C-1-N,28,4.318046,0.300895,0,5,0,0,mg N/L,KCL NO3_NO2 2,1653582575,5/26/2022 12:29,,
RESULT,19,U13,C3SC-A-3-N,29,2.686587,0.206753,0,5,0,0,mg N/L,KCL NO3_NO2 2,1653582709,5/26/2022 12:31,,
RESULT,20,U14,C3B-B-3-N,30,4.861141,0.332234,0,5,0,0,mg N/L,KCL NO3_NO2 2,1653582843,5/26/2022 12:34,,
RESULT,21,U15,C3B-D-3-N,31,11.316662,0.704744,0,5,0,19,mg N/L,KCL NO3_NO2 2,1653582982,5/26/2022 12:36,,
AUTODILUTION,APPROVED,1653582982,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1653582982,,,,,,,,,,,,,,
RESULT,22,U16,C1SB-B-5-N,32,7.101242,0.461497,0,5,0,0,mg N/L,KCL NO3_NO2 2,1653583111,5/26/2022 12:38,,
RESULT,23,U17,C1SB-B-1-N,33,6.495131,0.426522,0,5,0,0,mg N/L,KCL NO3_NO2 2,1653583240,5/26/2022 12:40,,
RESULT,24,U18,C1SB-C-4-N,34,2.455363,0.19341,0,5,0,0,mg N/L,KCL NO3_NO2 2,1653583374,5/26/2022 12:42,,
RESULT,25,U19,C1SB-C-5-N,35,2.060348,0.170616,0,5,0,0,mg N/L,KCL NO3_NO2 2,1653583508,5/26/2022 12:45,,
RESULT,26,U20,C3SA-D-4,36,1.142647,0.117661,0,5,0,0,mg N/L,KCL NO3_NO2 2,1653583642,5/26/2022 12:47,,
RESULT,26,C13,Duplicate,37,1.163534,0.118866,0,5,0,0,mg N/L,KCL NO3_NO2 2,1653583771,5/26/2022 12:49,,
QCPRORESULT,DUPLICATE,1.811322,1653583771,,,,,,,,,,,,,
QCPRODECISION,IN,1653583771,,,,,,,,,,,,,,
RESULT,26,C14,Auto Spike,38,2.144497,0.365676,0,5,0,0,mg N/L,KCL NO3_NO2 2,1653583901,5/26/2022 12:51,,
QCPRORESULT,AUTO SPIKE,100.184967,1653583901,,,,,,,,,,,,,
QCPRODECISION,IN,1653583901,,,,,,,,,,,,,,
RESULT,-3,C11,CCV,39,1.000448,0.340376,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653583978,5/26/2022 12:52,,
QCPRORESULT,NORMAL,0,1653583978,,,,,,,,,,,,,
QCPRODECISION,IN,1653583978,,,,,,,,,,,,,,
RESULT,-3,C12,CCB,40,0.016305,0.05643,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653584058,5/26/2022 12:54,,
QCPRORESULT,NORMAL,0,1653584058,,,,,,,,,,,,,
QCPRODECISION,IN,1653584058,,,,,,,,,,,,,,
RESULT,27,U21,C3SA-D-5,41,1.564082,0.14198,0,5,0,0,mg N/L,KCL NO3_NO2 2,1653584138,5/26/2022 12:55,,
RESULT,28,U22,C1SB-D-2,42,0.191394,0.06277,0,5,0,0,mg N/L,KCL NO3_NO2 2,1653584218,5/26/2022 12:56,,
RESULT,29,U23,C1SB-D-3,43,4.649113,0.319999,0,5,0,0,mg N/L,KCL NO3_NO2 2,1653584298,5/26/2022 12:58,,
RESULT,-3,C11,CCV,44,1.002107,0.340855,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653584378,5/26/2022 12:59,,
QCPRORESULT,NORMAL,0,1653584378,,,,,,,,,,,,,
QCPRODECISION,IN,1653584378,,,,,,,,,,,,,,
RESULT,-3,C12,CCB,45,0.015246,0.056124,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653584458,5/26/2022 13:00,,
QCPRORESULT,NORMAL,0,1653584458,,,,,,,,,,,,,
QCPRODECISION,IN,1653584458,,,,,,,,,,,,,,
RESULT,7,U1,C1SB-D-5-N,13,12.166664,0.192139,0,25,0,0,mg N/L,KCL NO3_NO2 2,1653585510,5/26/2022 13:18,,
RESULT,10,U4,C3A-C-2-N,16,11.808603,0.188007,0,25,0,0,mg N/L,KCL NO3_NO2 2,1653585590,5/26/2022 13:19,,
RESULT,15,U9,C3A-C-4-N,21,14.753252,0.22199,0,25,0,0,mg N/L,KCL NO3_NO2 2,1653585670,5/26/2022 13:21,,
RESULT,21,U15,C3B-D-3-N,31,10.738744,0.17566,0,25,0,0,mg N/L,KCL NO3_NO2 2,1653585750,5/26/2022 13:22,,
RUNENDED,1653585831,COMPLETE,,,,,,,,,,,,,,
RUNSTARTED,1654004108,5/31/2022 9:35,,,concentration,absorbtion,,dilution,,,,,,,,PBG
RESULT,-1,S1,Standard 1,0,0.054618,0.054618,0,0,0,0,mg N/L,KCL NO3_NO2 2,1654005347,5/31/2022 9:55,,
RESULT,-2,S90,Standard 90,1,0.066138,0.066138,0,0,0,0,mg N/L,KCL NO3_NO2 2,1654005476,5/31/2022 9:57,,
RESULT,-2,S91,Standard 91,2,0.081772,0.081772,0,0,0,0,mg N/L,KCL NO3_NO2 2,1654005604,5/31/2022 10:00,,
RESULT,-2,S92,Standard 92,3,0.109683,0.109683,0,0,0,0,mg N/L,KCL NO3_NO2 2,1654005733,5/31/2022 10:02,,
RESULT,-2,S93,Standard 93,4,0.192771,0.192771,0,0,0,0,mg N/L,KCL NO3_NO2 2,1654005862,5/31/2022 10:04,,
RESULT,-2,S94,Standard 94,5,0.339291,0.339291,0,0,0,0,mg N/L,KCL NO3_NO2 2,1654005992,5/31/2022 10:06,,
RESULT,-2,S95,Standard 95,6,0.480124,0.480124,0,0,0,0,mg N/L,KCL NO3_NO2 2,1654006120,5/31/2022 10:08,,
RESULT,-2,S96,Standard 96,7,0.624456,0.624456,0,0,0,0,mg N/L,KCL NO3_NO2 2,1654006248,5/31/2022 10:10,,
RESULT,-1,S0,Standard 0,8,0.056869,0.056869,0,0,0,0,mg N/L,KCL NO3_NO2 2,1654006376,5/31/2022 10:12,,
CALIBRATION,KCL NO3_NO2 2,1654006376,5/31/2022 10:12,,,,,,,,,,,,,
RESULT,5,C21,Nitrate Standard,9,0.984600,0.334007,0,0,0,0,mg N/L,KCL NO3_NO2 2,1654006504,5/31/2022 10:15,,
RESULT,6,C22,Nitrite Standard,10,1.177695,0.389055,0,0,0,0,mg N/L,KCL NO3_NO2 2,1654006633,5/31/2022 10:17,,
QCPRORESULT,REDUCTION EFFICIENCY,83.604027,1654006633,,,,,,,,,,,,,
QCPRODECISION,IN,1654006633,,,,,,,,,,,,,,
RESULT,-3,C11,CCV,11,0.996100,0.337285,0,0,0,0,mg N/L,KCL NO3_NO2 2,1654006761,5/31/2022 10:19,,
QCPRORESULT,NORMAL,0,1654006761,,,,,,,,,,,,,
QCPRODECISION,IN,1654006761,,,,,,,,,,,,,,
RESULT,-3,C12,CCB,12,0.010096,0.056191,0,0,0,0,mg N/L,KCL NO3_NO2 2,1654006890,5/31/2022 10:21,,
QCPRORESULT,NORMAL,0,1654006890,,,,,,,,,,,,,
QCPRODECISION,IN,1654006890,,,,,,,,,,,,,,
RESULT,7,U1,C1SB-A-2,13,5.504542,1.622572,0,0,0,19,mg N/L,KCL NO3_NO2 2,1654007019,5/31/2022 10:23,,
AUTODILUTION,APPROVED,1654007019,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1654007019,,,,,,,,,,,,,,
RESULT,8,U2,C1SB-A-5,14,0.872571,0.302069,0,0,0,0,mg N/L,KCL NO3_NO2 2,1654007147,5/31/2022 10:25,,
RESULT,9,U3,C3SC-C-2,15,0.414033,0.171347,0,0,0,0,mg N/L,KCL NO3_NO2 2,1654007276,5/31/2022 10:27,,
RESULT,10,U4,C3SB-C-5-N,16,15.117681,4.36313,0,0,0,19,mg N/L,KCL NO3_NO2 2,1654007405,5/31/2022 10:30,,
AUTODILUTION,APPROVED,1654007405,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1654007405,,,,,,,,,,,,,,
RESULT,11,U5,C1SB-A-4,17,5.515274,1.625632,0,0,0,19,mg N/L,KCL NO3_NO2 2,1654007538,5/31/2022 10:32,,
AUTODILUTION,APPROVED,1654007538,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1654007538,,,,,,,,,,,,,,
RESULT,12,U6,C3SB-C-3-N,18,12.317223,3.564762,0,0,0,19,mg N/L,KCL NO3_NO2 2,1654007667,5/31/2022 10:34,,
AUTODILUTION,APPROVED,1654007668,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1654007668,,,,,,,,,,,,,,
RESULT,13,U7,C3A-D-4,19,3.498197,1.050594,0,0,0,19,mg N/L,KCL NO3_NO2 2,1654007797,5/31/2022 10:36,,
AUTODILUTION,APPROVED,1654007797,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1654007797,,,,,,,,,,,,,,
RESULT,14,U8,C3SB-C-1-N,20,0.314049,0.142843,0,0,0,0,mg N/L,KCL NO3_NO2 2,1654007926,5/31/2022 10:38,,
RESULT,15,U9,C3SC-C-4-N,21,0.145970,0.094926,0,0,0,0,mg N/L,KCL NO3_NO2 2,1654008056,5/31/2022 10:40,,
RESULT,16,U10,C1SB-A-3,22,0.814295,0.285456,0,0,0,0,mg N/L,KCL NO3_NO2 2,1654008185,5/31/2022 10:43,,
RESULT,16,C13,Duplicate,23,0.797583,0.280691,0,0,0,0,mg N/L,KCL NO3_NO2 2,1654008262,5/31/2022 10:44,,
QCPRORESULT,DUPLICATE,2.073644,1654008262,,,,,,,,,,,,,
QCPRODECISION,IN,1654008262,,,,,,,,,,,,,,
RESULT,16,C14,Auto Spike,24,1.868840,0.524497,0,0,0,0,mg N/L,KCL NO3_NO2 2,1654008341,5/31/2022 10:45,,
QCPRORESULT,AUTO SPIKE,105.454506,1654008341,,,,,,,,,,,,,
QCPRODECISION,IN,1654008341,,,,,,,,,,,,,,
RESULT,-3,C11,CCV,25,0.990878,0.335797,0,0,0,0,mg N/L,KCL NO3_NO2 2,1654008421,5/31/2022 10:47,,
QCPRORESULT,NORMAL,0,1654008421,,,,,,,,,,,,,
QCPRODECISION,IN,1654008421,,,,,,,,,,,,,,
RESULT,-3,C12,CCB,26,0.010987,0.056445,0,0,0,0,mg N/L,KCL NO3_NO2 2,1654008501,5/31/2022 10:48,,
QCPRORESULT,NORMAL,0,1654008501,,,,,,,,,,,,,
QCPRODECISION,IN,1654008501,,,,,,,,,,,,,,
RESULT,17,U11,C3B-D-5-N,27,5.715478,1.682707,0,0,0,19,mg N/L,KCL NO3_NO2 2,1654008581,5/31/2022 10:49,,
AUTODILUTION,APPROVED,1654008581,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1654008581,,,,,,,,,,,,,,
RESULT,-3,C11,CCV,28,1.002439,0.339093,0,0,0,0,mg N/L,KCL NO3_NO2 2,1654008661,5/31/2022 10:51,,
QCPRORESULT,NORMAL,0,1654008661,,,,,,,,,,,,,
QCPRODECISION,IN,1654008661,,,,,,,,,,,,,,
RESULT,-3,C12,CCB,29,0.023599,0.06004,0,0,0,0,mg N/L,KCL NO3_NO2 2,1654008741,5/31/2022 10:52,,
QCPRORESULT,NORMAL,0,1654008741,,,,,,,,,,,,,
QCPRODECISION,IN,1654008741,,,,,,,,,,,,,,
RESULT,7,U1,C1SB-A-2,13,5.150988,0.347006,0,5,0,0,mg N/L,KCL NO3_NO2 2,1654009900,5/31/2022 11:11,,
RESULT,10,U4,C3SB-C-5-N,16,14.248870,0.865739,0,5,0,19,mg N/L,KCL NO3_NO2 2,1654009979,5/31/2022 11:12,,
AUTODILUTION,APPROVED,1654009979,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1654009979,,,,,,,,,,,,,,
RESULT,11,U5,C1SB-A-4,17,4.869787,0.330973,0,5,0,0,mg N/L,KCL NO3_NO2 2,1654010059,5/31/2022 11:14,,
RESULT,12,U6,C3SB-C-3-N,18,11.619581,0.715825,0,5,0,19,mg N/L,KCL NO3_NO2 2,1654010139,5/31/2022 11:15,,
AUTODILUTION,APPROVED,1654010139,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1654010139,,,,,,,,,,,,,,
